chunk_id,source_doc,section,topic,text
R001,CBA_official,Article VII Sec 3(a),salary_matching,"For a team below the first apron, in a trade the incoming salary may not exceed 125% of the outgoing salary plus $100,000. This is the standard salary matching rule that applies to the majority of teams in a given season."
R002,CBA_official,Article VII Sec 3(c),salary_matching,"For a team that is over the first apron, in a trade the incoming salary may not exceed 110% of the outgoing salary plus $100,000. This is a tighter matching requirement than the standard 125% rule and reduces the team's trade flexibility."
R003,CBA_official,Article VII Sec 5(a),aggregation_ban,"A team that is over the second apron cannot aggregate the salaries of multiple outgoing players in the same trade to acquire a single larger contract. Such a team is restricted to one-for-one player trades, or trades where the salary sent out exceeds the salary received."
R004,CBA_official,Article VII Sec 5(b),salary_matching,"A team over the second apron that completes a permitted one-for-one trade may not take back more salary than it sends out. Unlike lower tiers, there is no percentage of upside allowed for second apron teams."
R005,CBA_official,Article VI Sec 8,hard_cap,"A team becomes hard-capped at the first apron for the remainder of the season if it uses the non-taxpayer mid-level exception, the bi-annual exception, or acquires a player via sign-and-trade. Once hard-capped, the team cannot execute any transaction that would push its total salary above that apron threshold."
R006,CBA_official,Article VII Sec 9,trade_exception,"When a team trades away a player and does not immediately take back an equal salary, it may generate a trade exception equal to the departing player's salary. This exception can be used for up to one year to acquire a player of equal or lesser salary without sending money back in the same transaction."
R007,CBA_official,Article VII Sec 9(c),trade_exception,"Teams over the first apron cannot use trade exceptions generated before the previous season's trade deadline. Teams over the second apron lose access to the taxpayer mid-level exception entirely and cannot use it to supplement a trade exception."
R008,CBA_official,Article VII Sec 11,draft_pick_restriction,"A team that finishes a season above the second apron has its first-round draft pick seven years in the future frozen and rendered untradable until the team's salary situation improves relative to the apron thresholds."
R009,CoonFAQ,FAQ Section 3,salary_matching,"In plain terms, salary matching exists so that a team can't simply give away a cheap player and receive a star's max contract in return. The percentage-based rules scale a team's flexibility down as its total team salary climbs into higher penalty tiers."
R010,CoonFAQ,FAQ Section 5,aggregation_ban,"The aggregation ban is one of the strictest second apron penalties. In practice, it means a second-apron team cannot combine two mid-sized contracts to pursue one star-level contract in a trade, even if the total dollar amounts would otherwise satisfy matching rules."
